A001n_PN1c_00001-5	reltype=ob	['９', '年', 'し', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4', '6', '13']
A006n_PN3b_00001-43	reltype=before	['９', '年', '認め']	[JSP]元東京協和信組理事長の■■■■被告（５７）＝控訴＝らと共謀して旧２信組から実姉の■■■■被告（上告中死亡）の経営する企業に２７億円余を不正融資させた背任事件（９４年）について、判決は「回収見込みがないことを熟知しながら、信用組合側に融資を懇願した」と、その成立を認めた。	['57', '59', '93']
A007n_PN3g_00001-3	reltype=overlap	['九', '日', 'さ', '実施']	[JSP]最高裁裁判官の国民審査が九日、衆院選投票と同時に実施される。	['10', '11', '19', '20']
A007n_PN3g_00001-12	reltype=after	['０', '月', '判事', '経']	東京高裁長官を経て０２年１１月最高裁判事。	['5', '7', '12', '15']
A007n_PN3g_00001-21	reltype=overlap	['０', '月', 'し', '判断']	[JSP]婚外子の遺産相続分を嫡出子の半分とする民法の規定を合憲と判断した判決（第一小法廷、０３年３月）で反対意見。	['21', '22', '31', '35']
A007n_PN3g_00001-22	reltype=overlap	['０', '月', 'し']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['16', '20', '24']
A007n_PN3g_00001-22	reltype=overlap	['０', '月', '意見', 'ない', 'こと', 'する', '評価']	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['20', '24', '25', '36', '37', '38', '41']
A007n_PN3g_00001-26	reltype=after	['０', '月', '判事', '経']	広島、大阪各高裁長官を経て０２年２月最高裁判事。	['8', '10', '14', '17']
A007n_PN3g_00001-36	reltype=vague	['０', '月', '認め', '差し止め', '魚', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '21', '25', '27', '31', '35']
A007n_PN3g_00001-36	reltype=overlap	['０', '月', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31', '35']
A007n_PN3g_00001-36	reltype=before	['０', '月', '月', 'し']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['31', '35', '54', '58']
A007n_PN3g_00001-36	reltype=vague	['０', '月', '月', '認め', '差し止め', '魚', '泳ぐ']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['20', '21', '25', '27', '31', '35', '58']
A007n_PN3g_00001-36	reltype=after	['０', '月', '月', '認め']	[JSP]人格権侵害を理由に、芥川賞作家柳美里さんの小説「石に泳ぐ魚」の出版差し止めを認めた判決（０２年９月）、住民訴訟原告への公正取引委員会の談合記録開示を適法とした判決（０３年９月）で裁判長。	['27', '31', '35', '58']
A007n_PN3g_00001-40	reltype=after	['０', '月', '判事', '経']	東京高検検事長を経て０２年１０月最高裁判事。	['6', '8', '12', '13']
A007n_PN3g_00001-49	reltype=after	['０', '月', 'し', '特約', 'さ', '締結']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['4', '5', '13', '21', '25', '29']
A007n_PN3g_00001-49	reltype=overlap	['０', '月', 'し', '否定']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['20', '21', '25', '29']
A007n_PN3g_00001-49	reltype=overlap	['０', '月', '同', 'し']	バブル期に締結された地代の自動増額改定特約について有効性を否定した判決（０３年６月）、土地の固定資産税評価額が実勢価格を超えれば違法とした判決（同）で裁判長。	['21', '25', '29', '47']
A007n_PN3g_00001-53	reltype=after	['０', '月', '判事', '経']	仙台、大阪各高裁長官を経て０２年１１月最高裁判事。	['8', '10', '15', '18']
A007n_PN3g_00001-63	reltype=overlap	['０', '月', 'し']	併合罪の解釈が争われた新潟の女性監禁事件で懲役１４年とした判決（０３年７月）に関与。	['20', '24', '28']
A007n_PN3g_00001-76	reltype=vague	['０', '選', '訴訟', '月', '意見', 'でき', '場合', '及ぶ']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3', '6', '10', '14', '19', '35', '36']
A007n_PN3g_00001-76	reltype=before	['０', '選', '訴訟', '月', '意見', 'でき', 'こと', 'する', '是認']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3', '6', '10', '14', '19', '38', '39', '40']
A007n_PN3g_00001-76	reltype=before	['０', '選', '訴訟', '月', '意見', 'でき']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3', '6', '10', '14', '19']
A007n_PN3g_00001-76	reltype=vague	['０', '月', '意見', 'でき', '場合', '及ぶ']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3', '14', '19', '35', '36']
A007n_PN3g_00001-76	reltype=overlap	['０', '月', '意見', 'でき', 'こと', 'する', '是認']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3', '14', '19', '38', '39', '40']
A007n_PN3g_00001-76	reltype=overlap	['０', '月', '意見', 'でき']	[JSP]００年衆院選の選挙無効訴訟の判決（０１年１２月）で一票の格差について「一対二以上に及ぶ場合、是認することはできない」と違憲の反対意見。	['2', '3', '14', '19']
A007n_PN3g_00001-77	reltype=overlap	['０', '月', 'し', '反し']	大嘗祭を「政教分離に反しない」と判断した判決（０２年７月）で裁判長。	['8', '13', '17', '21']
A007n_PN3g_00001-77	reltype=overlap	['０', '月', 'し', '判断']	大嘗祭を「政教分離に反しない」と判断した判決（０２年７月）で裁判長。	['12', '13', '17', '21']
A007n_PN3g_00001-81	reltype=after	['０', '月', '判事', '経']	大阪弁護士会会長を経て０２年６月最高裁判事。	['7', '9', '13', '16']
A007n_PN3g_00001-89	reltype=overlap	['０', '月', 'し']	ロプロ（旧日栄）の融資で「利息制限法を逸脱」とした判決（０３年７月）、早大の警視庁への講演会参加者名簿提供を「プライバシー侵害で違法」と判断した判決（０３年９月）で裁判長。	['17', '21', '25']
A007n_PN3g_00001-89	reltype=before	['０', '月', '月', 'し', '判断']	ロプロ（旧日栄）の融資で「利息制限法を逸脱」とした判決（０３年７月）、早大の警視庁への講演会参加者名簿提供を「プライバシー侵害で違法」と判断した判決（０３年９月）で裁判長。	['17', '21', '25', '48', '49']
A007n_PN3g_00001-89	reltype=after	['０', '月', '月', 'し']	ロプロ（旧日栄）の融資で「利息制限法を逸脱」とした判決（０３年７月）、早大の警視庁への講演会参加者名簿提供を「プライバシー侵害で違法」と判断した判決（０３年９月）で裁判長。	['17', '21', '25', '49']
A007n_PN3g_00001-89	reltype=overlap	['０', '月', 'し', '判断']	ロプロ（旧日栄）の融資で「利息制限法を逸脱」とした判決（０３年７月）、早大の警視庁への講演会参加者名簿提供を「プライバシー侵害で違法」と判断した判決（０３年９月）で裁判長。	['17', '21', '25', '48']
A007n_PN3g_00001-93	reltype=after	['０', '月', '判事', '経']	東京弁護士会会長を経て００年９月最高裁判事。	['7', '9', '10', '13']
A007n_PN3g_00001-103	reltype=overlap	['０', '月', 'し']	旧日本軍軍属の在日韓国人に対する障害年金不支給を合憲とした判決（０１年４月）で「明確な法的解釈が望まれる」と補足意見。	['18', '22', '26']
A007n_PN3g_00001-108	reltype=after	['０', '月', '判事', '経']	東北大大学院教授を経て０２年９月最高裁判事。	['7', '9', '13', '16']
A007n_PN3g_00001-119	reltype=overlap	['０', '月', '認め']	サブリース契約での賃料減額請求を認めた判決（０３年１０月）、「東電ＯＬ殺害事件」で一審無罪、二審無期懲役となったネパール人被告の上告を棄却する決定（同）で裁判長。	['9', '13', '17']
A007n_PN3g_00001-119	reltype=after	['０', '月', '同', 'する', '上告', 'なっ']	サブリース契約での賃料減額請求を認めた判決（０３年１０月）、「東電ＯＬ殺害事件」で一審無罪、二審無期懲役となったネパール人被告の上告を棄却する決定（同）で裁判長。	['13', '17', '18', '37', '43', '46']
A007n_PN3g_00001-119	reltype=overlap	['０', '月', '同', 'する', '棄却']	サブリース契約での賃料減額請求を認めた判決（０３年１０月）、「東電ＯＬ殺害事件」で一審無罪、二審無期懲役となったネパール人被告の上告を棄却する決定（同）で裁判長。	['13', '17', '18', '45', '46']
